[12/23 03:53:30] detectron2 INFO: --- [ARCHITECTURAL INTROSPECTION] Available Modules in MMEhoiNetv1 ---
[12/23 03:53:30] detectron2 INFO:   > backbone
[12/23 03:53:30] detectron2 INFO:   > proposal_generator
[12/23 03:53:30] detectron2 INFO:   > roi_heads (Sub-modules available:)
[12/23 03:53:30] detectron2 INFO:       - roi_heads.box_pooler
[12/23 03:53:30] detectron2 INFO:       - roi_heads.box_head
[12/23 03:53:30] detectron2 INFO:       - roi_heads.box_predictor
[12/23 03:53:30] detectron2 INFO:   > classification_hand_lr
[12/23 03:53:30] detectron2 INFO:   > classification_gloves
[12/23 03:53:30] detectron2 INFO:   > classification_contact_state
[12/23 03:53:30] detectron2 INFO:   > _mask_pooler
[12/23 03:53:30] detectron2 INFO:   > _mask_rcnn_head
[12/23 03:53:30] detectron2 INFO:   > depth_module
[12/23 03:53:30] detectron2 INFO:   > _loss_depth_f
[12/23 03:53:30] detectron2 INFO:   > association_vector_regressor
[12/23 03:53:30] detectron2 INFO:   > _roi_align_cnn_contact_state
[12/23 03:53:30] detectron2 INFO: ---------------------------------------------------------------------
[12/23 03:53:30] detectron2 INFO: --- [FREEZE ACTION] Targeting modules: ['backbone', 'depth_module', '_mask_rcnn_head'] ---
[12/23 03:53:30] detectron2 INFO: [SUCCESS] Parameters frozen for: 'backbone'
[12/23 03:53:30] detectron2 INFO: [SUCCESS] Parameters frozen for: 'depth_module'
[12/23 03:53:30] detectron2 INFO: [SUCCESS] Parameters frozen for: '_mask_rcnn_head'
[12/23 03:53:32] d2.data.datasets.coco WARNING: 
Category ids in annotations are not in [1, #categories]! We'll apply a mapping for you.

[12/23 03:53:32] d2.data.datasets.coco INFO: Loaded 1010 images in COCO format from ../real-split/annotations/train_coco.json
[12/23 03:53:32] d2.data.build INFO: Removed 0 images with no usable annotations. 1010 images left.
[12/23 03:53:32] d2.data.build INFO: Distribution of instances among all 20 categories:
[36m|   category    | #instances   |   category    | #instances   |   category    | #instances   |
|:-------------:|:-------------|:-------------:|:-------------|:-------------:|:-------------|
| power supply  | 144          | oscilloscope  | 761          | welder stat.. | 540          |
| electric sc.. | 160          |  screwdriver  | 322          |    pliers     | 693          |
| welder prob.. | 113          | oscilloscop.. | 643          | low voltage.. | 527          |
| high voltag.. | 297          |   register    | 59           | electric sc.. | 33           |
| working area  | 752          |  welder base  | 268          |    socket     | 1313         |
| left red bu.. | 16           | left green .. | 16           | right red b.. | 16           |
| right green.. | 16           |     hand      | 1686         |               |              |
|     total     | 8375         |               |              |               |              |[0m
[12/23 03:53:32] d2.data.build INFO: Using training sampler TrainingSampler
[12/23 03:53:32] d2.data.common INFO: Serializing 1010 elements to byte tensors and concatenating them all ...
[12/23 03:53:32] d2.data.common INFO: Serialized dataset takes 0.71 MiB
[12/23 03:53:32] detectron2 INFO: Starting training from iteration 0
[12/23 03:53:49] d2.utils.events INFO:  iter: 20  total_loss: 7.73  loss_cls: 2.925  loss_box_reg: 0.6896  loss_rpn_cls: 0.2546  loss_rpn_loc: 0.07406  loss_cs_multi: 0.7436  loss_cs_eff: 0.7973  loss_cs_res: 0.6898  loss_classification_hand_lr: 0.7096  loss_regression_dxdymagn: 0.1732  loss_depth: 0  loss_classification_gloves: 0.6866  lr: 2.098e-05  max_mem: 0M
[12/23 03:54:02] d2.utils.events INFO:  eta: 15:11:56  iter: 40  total_loss: 7.165  loss_cls: 2.44  loss_box_reg: 0.693  loss_rpn_cls: 0.224  loss_rpn_loc: 0.06987  loss_cs_multi: 0.715  loss_cs_eff: 0.7787  loss_cs_res: 0.6689  loss_classification_hand_lr: 0.6981  loss_regression_dxdymagn: 0.1791  loss_depth: 0  loss_classification_gloves: 0.6591  lr: 4.096e-05  max_mem: 0M
[12/23 03:54:16] d2.utils.events INFO:  eta: 15:12:36  iter: 60  total_loss: 5.925  loss_cls: 1.521  loss_box_reg: 0.7124  loss_rpn_cls: 0.1167  loss_rpn_loc: 0.0708  loss_cs_multi: 0.664  loss_cs_eff: 0.7091  loss_cs_res: 0.6134  loss_classification_hand_lr: 0.6959  loss_regression_dxdymagn: 0.1653  loss_depth: 0  loss_classification_gloves: 0.5999  lr: 6.094e-05  max_mem: 0M
[12/23 03:54:30] d2.utils.events INFO:  eta: 15:46:57  iter: 80  total_loss: 5.437  loss_cls: 1.062  loss_box_reg: 0.7208  loss_rpn_cls: 0.1926  loss_rpn_loc: 0.0804  loss_cs_multi: 0.6283  loss_cs_eff: 0.6627  loss_cs_res: 0.6057  loss_classification_hand_lr: 0.6797  loss_regression_dxdymagn: 0.1569  loss_depth: 0  loss_classification_gloves: 0.5273  lr: 8.092e-05  max_mem: 0M
[12/23 03:54:43] d2.utils.events INFO:  eta: 14:45:04  iter: 100  total_loss: 4.835  loss_cls: 0.9324  loss_box_reg: 0.6921  loss_rpn_cls: 0.1013  loss_rpn_loc: 0.05622  loss_cs_multi: 0.5961  loss_cs_eff: 0.6341  loss_cs_res: 0.5363  loss_classification_hand_lr: 0.6493  loss_regression_dxdymagn: 0.149  loss_depth: 0  loss_classification_gloves: 0.4821  lr: 0.0001009  max_mem: 0M
[12/23 03:54:57] d2.utils.events INFO:  eta: 14:44:38  iter: 120  total_loss: 4.833  loss_cls: 0.8886  loss_box_reg: 0.6792  loss_rpn_cls: 0.1237  loss_rpn_loc: 0.05748  loss_cs_multi: 0.5874  loss_cs_eff: 0.6094  loss_cs_res: 0.5675  loss_classification_hand_lr: 0.6139  loss_regression_dxdymagn: 0.1378  loss_depth: 0  loss_classification_gloves: 0.3745  lr: 0.00012088  max_mem: 0M
[12/23 03:55:10] d2.utils.events INFO:  eta: 14:50:31  iter: 140  total_loss: 4.534  loss_cls: 0.915  loss_box_reg: 0.7042  loss_rpn_cls: 0.1469  loss_rpn_loc: 0.07337  loss_cs_multi: 0.5108  loss_cs_eff: 0.5634  loss_cs_res: 0.4713  loss_classification_hand_lr: 0.5981  loss_regression_dxdymagn: 0.1403  loss_depth: 0  loss_classification_gloves: 0.3118  lr: 0.00014086  max_mem: 0M
[12/23 03:55:23] d2.utils.events INFO:  eta: 14:44:47  iter: 160  total_loss: 4.262  loss_cls: 0.8453  loss_box_reg: 0.7026  loss_rpn_cls: 0.08461  loss_rpn_loc: 0.07236  loss_cs_multi: 0.5204  loss_cs_eff: 0.5441  loss_cs_res: 0.4772  loss_classification_hand_lr: 0.5512  loss_regression_dxdymagn: 0.1342  loss_depth: 0  loss_classification_gloves: 0.3202  lr: 0.00016084  max_mem: 0M
[12/23 03:55:37] d2.utils.events INFO:  eta: 14:51:26  iter: 180  total_loss: 4.071  loss_cls: 0.7723  loss_box_reg: 0.6555  loss_rpn_cls: 0.05315  loss_rpn_loc: 0.0653  loss_cs_multi: 0.5634  loss_cs_eff: 0.5557  loss_cs_res: 0.5441  loss_classification_hand_lr: 0.4816  loss_regression_dxdymagn: 0.1132  loss_depth: 0  loss_classification_gloves: 0.244  lr: 0.00018082  max_mem: 0M
[12/23 03:55:50] d2.utils.events INFO:  eta: 14:44:23  iter: 200  total_loss: 4.441  loss_cls: 0.7639  loss_box_reg: 0.681  loss_rpn_cls: 0.06599  loss_rpn_loc: 0.06894  loss_cs_multi: 0.6076  loss_cs_eff: 0.6336  loss_cs_res: 0.5935  loss_classification_hand_lr: 0.4257  loss_regression_dxdymagn: 0.1022  loss_depth: 0  loss_classification_gloves: 0.3299  lr: 0.0002008  max_mem: 0M
[12/23 03:56:04] d2.utils.events INFO:  eta: 15:10:56  iter: 220  total_loss: 4.101  loss_cls: 0.6952  loss_box_reg: 0.6695  loss_rpn_cls: 0.06599  loss_rpn_loc: 0.06125  loss_cs_multi: 0.6251  loss_cs_eff: 0.6416  loss_cs_res: 0.6009  loss_classification_hand_lr: 0.3844  loss_regression_dxdymagn: 0.0881  loss_depth: 0  loss_classification_gloves: 0.249  lr: 0.00022078  max_mem: 0M
